id;street_address;postal_code;city;state_province
1;outside qua repentant;after;Fort Haydenworth;ick phooey fishery
2;refine;lock battle soybean;Charleston;interesting rag easily
3;with anxiously;at;East Vernicebury;ack cheerful separate
4;quintessential beyond;ignite meanwhile adjudge;West Jannie;curl
5;quarrelsomely um;annual;DeKalb;round
6;dispense;whose these in;Quigleyworth;issue meatloaf
7;carnival optimistically after;frozen;Lake Keaganland;eke round
8;flimsy lively;briskly aw;Schenectady;until finally oof
9;secret boldly what;printer;Fort Linnea;lucky
10;scruple yahoo;approach daughter;West Leora;and upside-down up
